time,data
1202151485,92.2
1202161485,92.2
1202171485,92.2
1202181485,92.2
1202191485,92.2
1202201485,92.2
1202211485,92.2
1202221485,92.2
1202231485,92.2
1202241485,92.2
1202251485,92.2
1202261485,92.2
1202271485,92.2
1202281485,92.2
1202291485,92.2
1202301485,92.2
1202311485,92.2
1202321485,92.2
1202331485,92.2
1202341485,92.2
1202351485,92.2
1202361485,92.2
1202371485,92.2
1202381485,92.2
1202391485,92.2
1202401485,92.2
1202411485,92.2
1202421485,92.2
1202431485,92.2
1202441485,92.2
1202451485,90.5
1202461485,90.5
1202471485,90.5
1202481485,90.5
1202491485,90.5
1202501485,90.5
1202511485,90.5
1202521485,90.5
1202531485,90.5
1202541485,90.5
1202551485,90.5
1202561485,90.5
1202571485,90.5
1202581485,90.5
1202591485,90.5
1202601485,90.5
1202611485,90.5
1202621485,90.5
1202631485,90.5
1202641485,90.5
1202651485,90.5
1202661485,90.5
1202671485,90.5
1202681485,90.5
1202691485,90.5
1202701485,90.5
1202711485,90.5
1202721485,90.5
1202731485,90.5
1202741485,90.5
1202751485,90.5
1202761485,90.5
1202771485,90.5
1202781485,90.5
1202791485,90.5
1202801485,90.5
1202811485,90.5
1202821485,90.5
1202831485,90.5
1202841485,90.5
1202851485,90.5
1202861485,90.5
1202871485,90.5
1202881485,90.5
1202891485,90.5
1202901485,90.5
1202911485,90.5
1202921485,90.5
1202931485,90.5
1202941485,90.5
1202951485,90.5
1202961485,90.5
1202971485,90.5
1202981485,90.5
1202991485,90.5
1203001485,90.5
1203011485,90.5
1203021485,90.5
1203031485,90.5
1203041485,90.5
1203051485,90.5
1203061485,90.5
1203071485,90.5
1203081485,90.5
1203091485,90.5
1203101485,90.5
1203111485,90.5
1203121485,90.5
1203131485,90.5
1203141485,90.5
1203151485,90.5
1203161485,90.5
1203171485,90.5
1203181485,90.5
1203191485,90.5
1203201485,90.5
1203211485,90.5
1203221485,90.5
1203231485,90.5
1203241485,90.5
1203251485,90.5
1203261485,90.5
1203271485,90.5
1203281485,90.5
1203291485,90.5
1203301485,90.5
1203311485,90.5
1203321485,90.5
1203331485,90.5
1203341485,90.5
1203351485,90.5
1203361485,90.5
1203371485,90.5
1203381485,90.5
1203391485,90.5
1203401485,90.5
1203411485,90.5
1203421485,90.5
1203431485,90.5
1203441485,90.5
1203451485,96.3
1203461485,96.3
1203471485,96.3
1203481485,96.3
1203491485,96.3
1203501485,96.3
1203511485,96.3
1203521485,96.3
1203531485,96.3
1203541485,96.3
1203551485,96.3
1203561485,96.3
1203571485,96.3
1203581485,96.3
1203591485,96.3
1203601485,96.3
1203611485,96.3
1203621485,96.3
1203631485,96.3
1203641485,96.3
1203651485,96.3
